S-10000,2024-01-23,65d17e58-40be-4c28-b28d-cbb0350ddbee,Printer,Office Supplies,13,698.8,88902622-94cc-4a94-8e0f-93b409f91321,West,9084.4
S-10001,2024-04-30,0fa52e0e-5494-4d67-afee-066c07818034,Monitor,Office Supplies,9,328.69,ab298ec9-7cba-4534-a453-386e694794b7,South,2958.21
S-10002,2024-06-04,6893f807-082f-4b06-b4bc-47923d26d43e,Keyboard,Office Supplies,1,816.99,779bed89-cc60-4117-9887-25548723e844,West,816.99
S-10003,2024-06-08,d69aa70d-abc3-4465-8cfa-9fb652e95400,Printer,Accessories,17,554.49,81279452-582e-47ab-9c3e-95614b9b6115,West,9426.33
S-10004,2024-02-01,f8561a5a-0bf4-4b58-b147-37d9ef079bc3,Tablet,Office Supplies,16,870.31,9237bdb2-a5b4-49f1-b805-49ca1d8fea90,South,13924.96
S-10005,2024-06-27,34510b3c-2074-4979-afee-01cbf41c1f7b,Headphones,Electronics,18,765.66,8e38d801-acdc-487b-995c-7e744c59a2bc,South,13781.88
S-10006,2023-03-20,ed2e8bb1-392e-4642-8bfe-eb3f6b3c8ae6,Keyboard,Office Supplies,2,869.89,3d44e361-fa5c-4471-a82e-8c53d1d85182,South,1739.78
S-10007,2023-01-21,d82e7e54-bb78-4e72-92dc-c81ac1080118,Keyboard,Electronics,14,29.96,d24022d2-5cec-457c-82be-965e67b4ed81,North,419.44
S-10008,2024-08-17,805af890-6ff0-4a70-9352-5115c50eb5b7,Printer,Office Supplies,17,251.07,3de860a6-d972-4e1c-a0fd-ebba2fc2a845,North,4268.19
S-10009,2024-07-30,439d2a99-e1ef-4d5b-8cb9-47df418b9a6d,Smartphone,Office Supplies,3,99.11,beb13fe8-92c1-412d-b821-15d15cba747b,South,297.33
S-10010,2023-04-02,143ada0e-8233-4abe-86ea-a5ebd2c52dc1,Tablet,Electronics,2,447.66,38700b77-816d-48f8-962f-f8f7a0cf4eca,East,895.32
S-10011,2023-12-06,46c41a4a-0c56-465f-a80a-430dd41173a8,Printer,Office Supplies,8,891.06,52c5fefe-5f1f-4f48-8250-a06eda49633b,South,7128.48
S-10012,2024-06-08,526657c9-e35c-43fc-82ad-67eedcb4d906,Tablet,Office Supplies,2,472.86,8e8a5d32-8b9b-487c-ae32-ac4e4631008f,East,945.72
S-10013,2024-01-19,ae7744cd-9b1d-43ab-9bae-d811d370f54b,Tablet,Office Supplies,2,851.22,a25ef65c-8986-4dcd-ba1a-2ba06f9259a2,North,1702.44
S-10014,2023-11-30,91bd2534-6b33-4172-96a2-05e693655e8a,Headphones,Accessories,9,333.91,9c65533d-5c62-4973-8d39-32061f739753,North,3005.19
S-10015,2023-05-07,3b1d75f8-2d82-459d-b6e1-dd4d0118c8cf,Keyboard,Electronics,6,346.17,5a15db7d-563b-4894-9890-189977e9240c,East,2077.02
S-10016,2023-04-26,6445a718-cc53-4074-9d6d-905d89d1d3b5,Monitor,Office Supplies,12,896.61,ded3292a-3d18-4453-a67e-38e099ec47a7,North,10759.32
S-10017,2024-08-26,8ee82f6f-aab3-4ddb-b779-9ef65f99023c,Headphones,Electronics,9,431.56,52873da6-93c6-4c59-bc09-e8132317a90f,South,3884.04
S-10018,2023-06-23,ec82d25e-afc4-4a94-8ec6-69099cdee161,Headphones,Electronics,7,791.87,8f7e3e81-1a3a-433a-bb29-26cf79e427aa,East,5543.09
S-10019,2023-04-08,224b9be0-2412-496b-a006-36c63fd9b8e2,Tablet,Electronics,12,244.28,4d855ee7-7e27-4e3d-890c-58a91495cddc,East,2931.36
S-10020,2024-06-04,8ce81e45-63ab-43fc-9bd5-b7187f44e583,Mouse,Office Supplies,5,949.31,3c61704b-083c-4a90-b9f8-cb9eac0a8d8f,West,4746.55
S-10021,2023-06-28,64ba8c0d-9985-4b3b-81d9-dd4037f9cbc9,Keyboard,Office Supplies,16,578.83,20c2cbba-7297-4767-a209-bc343595bc57,North,9261.28
S-10022,2023-06-06,f71de003-abbc-4be0-99f2-929fda358ff0,Smartphone,Electronics,5,761.73,c2e66629-cbc4-4eff-8625-321c0f051e10,East,3808.65
S-10023,2023-11-18,7ad3adc1-44ae-4136-a426-0b506403fa4b,Headphones,Accessories,12,98.62,a16fb74d-56fe-46a7-b97c-90a47e93b054,East,1183.44
S-10024,2024-09-27,3f6bc321-1ffd-4f3b-89ea-817ba3c3c55b,Monitor,Electronics,9,497.74,cee31de9-85c2-4c69-944f-2254af199c16,East,4479.66
S-10025,2024-07-21,a8e034b9-8785-4539-8113-479338d9f142,Mouse,Accessories,7,902.03,3170ceba-7ec8-4632-9dea-bfd77a1ee32f,North,6314.21
S-10026,2024-02-04,fbc46c7f-e222-445e-9bf6-3c9d06a6e14c,Mouse,Electronics,19,878.27,3fabb9ad-94b8-42b7-9dbb-8fe306ba4ab6,East,16687.13
S-10027,2024-03-06,9158a6df-f3a3-4cfe-abbb-daaf3c24ad19,Smartphone,Electronics,11,56.35,cfaa4ef2-2eac-4138-b7b2-855bb996a582,East,619.85
S-10028,2024-02-04,17214d45-f02b-430c-bbf5-2bf52be3c04e,Headphones,Electronics,12,310.66,b3502832-b28e-4d54-99e7-2fa9caf39f73,South,3727.92
S-10029,2024-06-28,9e43264b-8c8b-4370-bf46-98ebaeebe387,Monitor,Office Supplies,3,448.89,438a6b65-14b6-496e-aa15-a64ec2ff070d,South,1346.67
S-10030,2024-05-09,5ccb756e-e260-4b7e-98b1-31c527bdc84a,Keyboard,Accessories,17,180.54,2d091b26-382d-4a17-90e3-c00e22561d90,West,3069.18
S-10031,2024-08-11,41972db2-a3e9-4336-8d7d-5d8a73421f7c,Laptop,Accessories,7,732.7,fcdd089b-3f3a-4302-9199-1ca2e2deabf1,East,5128.9
S-10032,2023-08-13,3d468eb8-9b2c-4547-a9a6-5359644f881e,Monitor,Electronics,10,192.67,f1da423b-f73d-4baa-b9ae-fb65a31bc19b,North,1926.7
S-10033,2023-02-05,9fb6f3d8-fc0c-47ee-b7d4-b99839e23d13,Smartphone,Office Supplies,15,353.17,288471e3-5da2-4742-8438-bc6088a33e20,West,5297.55
S-10034,2024-02-05,80722ad5-05ac-4dc4-b8e6-c86b3b5154f8,Mouse,Office Supplies,2,666.65,6a5b904b-215a-4853-bd2a-885b5c78ba29,West,1333.3
S-10035,2024-03-04,9625a57e-70c7-4a14-a1ce-efb43fef056d,Keyboard,Accessories,13,487.27,aa33d952-1c0a-46e2-9fad-d882f511e563,West,6334.51
S-10036,2024-10-04,6bc7ea06-4006-4391-bfa0-b742d4e373c7,Monitor,Office Supplies,4,741.19,a4e1427a-1a8e-4b09-8060-ae36e5301bfe,East,2964.76
S-10037,2023-07-26,3a577dc8-4090-4bba-835c-52167e042cdb,Laptop,Accessories,18,961.6,ae52b996-1125-4c56-b9db-d49a8fb50c2e,West,17308.8
S-10038,2023-11-09,58be4767-7962-43bf-b577-d9162da0cea0,Laptop,Accessories,1,125.38,2bdf2cdd-ad6d-4f4d-a5de-1e323e033760,North,125.38
S-10039,2024-05-24,80b8c037-b8ed-45ef-b4ac-bd8398342c79,Tablet,Accessories,2,712.47,2319dc09-4d49-4b98-a545-1c2ee2c323e2,South,1424.94
